,Unnamed: 0,spec,concept,syn_concept,def_concept,chosen_concept,syn_chosen_concept
0,0,lab,class,"['class.n.01', 'class.n.02', 'class.n.03', 'course.n.01', 'class.n.05', 'class.n.06', 'class.n.07', 'class.n.08']","['a collection of things sharing a common attribute', 'a body of students who are taught together', 'people having the same social, economic, or educational status', 'education imparted in a series of lessons or meetings', 'a league ranked by quality', 'a body of students who graduate together', '(biology) a taxonomic group containing one or more orders', 'elegance in dress or behavior']",,
1,1,,warehouse,['warehouse.n.01'],['a storehouse for goods and merchandise'],,
2,2,front,foyer,['anteroom.n.01'],['a large entrance or reception room or area'],,
3,3,hotel,lobby,"['anteroom.n.01', 'lobby.n.02', 'lobby.n.03']","['a large entrance or reception room or area', 'the people who support some common cause or business or principle or sectional interest', 'a group of people who try actively to influence legislation']",,
4,4,city,street,"['street.n.01', 'street.n.02', 'street.n.03', 'street.n.04', 'street.n.05']","['a thoroughfare (usually including sidewalks) that is lined with buildings', 'the part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel', 'the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction', 'a situation offering opportunities', 'people living or working on the same street']",,
5,5,,church,"['church.n.01', 'church.n.02', 'church_service.n.01', 'church.n.04']","['one of the groups of Christians who have their own beliefs and forms of worship', 'a place for public (especially Christian) worship', 'a service conducted in a house of worship', 'the body of people who attend or belong to a particular local church']",,
6,6,dry,mountains,"['mountain.n.01', 'batch.n.02']","['a land mass that projects well above its surroundings; higher than a hill', ""(often followed by `of') a large number or amount or extent""]",,
7,7,copy,room,"['room.n.01', 'room.n.02', 'room.n.03', 'room.n.04']","['an area within a building enclosed by walls and floor and ceiling', 'space for movement', 'opportunity for', 'the people who are present in a room']",,
8,8,sculpture,garden,"['garden.n.01', 'garden.n.02', 'garden.n.03']","['a plot of ground where plants are cultivated', 'the flowers or vegetables or fruits or herbs that are cultivated in a garden', 'a yard or lawn adjoining a house']",,
9,9,bathroom,sink,"['sink.n.01', 'sink.n.02', 'sinkhole.n.01', 'cesspool.n.01']","['plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe', '(technology) a process that acts to absorb or remove energy or a substance from a system', 'a depression in the ground communicating with a subterranean passage (especially in limestone) and formed by solution or by collapse of a cavern roof', 'a covered cistern; waste water and sewage flow into it']",,
10,10,tree,house,"['house.n.01', 'firm.n.01', 'house.n.03', 'house.n.04', 'house.n.05', 'house.n.06', 'house.n.07', 'sign_of_the_zodiac.n.01', 'house.n.09', 'family.n.01', 'theater.n.01', 'house.n.12']","['a dwelling that serves as living quarters for one or more families', 'the members of a business organization that owns or operates one or more establishments', 'the members of a religious community living together', 'the audience gathered together in a theatre or cinema', 'an official assembly having legislative powers', 'aristocratic family line', 'play in which children take the roles of father or mother or children and pretend to interact like adults', '(astrology) one of 12 equal areas into which the zodiac is divided', 'the management of a gambling house or casino', 'a social unit living together', 'a building where theatrical performances or motion-picture shows can be presented', 'a building in which something is sheltered or located']",,
11,11,front,lawn,['lawn.n.01'],['a field of cultivated and mowed grass'],,
12,12,,mall,"['promenade.n.02', 'plaza.n.02']","['a public area set aside as a pedestrian walk', 'mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace']",,
13,13,skate,park,"['park.n.01', 'park.n.02', 'ballpark.n.01', 'park.n.04', 'parking_lot.n.01', 'park.n.06']","['a large area of land preserved in its natural state as public property', 'a piece of open land for recreational use in an urban area', 'a facility in which ball games are played (especially baseball games)', 'Scottish explorer in Africa (1771-1806)', 'a lot where cars are parked', 'a gear position that acts as a parking brake']",,
14,14,flower,shop,"['shop.n.01', 'workshop.n.01', 'shop_class.n.01']","['a mercantile establishment for the retail sale of goods or services', 'small workplace where handcrafts or manufacturing are done', 'a course of instruction in a trade (as carpentry or electricity)']",,
15,15,fish,market,"['market.n.01', 'market.n.02', 'grocery_store.n.01', 'market.n.04', 'marketplace.n.02']","['the world of commercial activity where goods and services are bought and sold', 'the customers for a particular product or service', 'a marketplace where groceries are sold', 'the securities markets in the aggregate', 'an area in a town where a public mercantile establishment is set up']",,
16,16,fabric,store,"['shop.n.01', 'store.n.02', 'memory.n.04', 'storehouse.n.01']","['a mercantile establishment for the retail sale of goods or services', 'a supply of something available for future use', 'an electronic memory device', 'a depository for goods']",,
17,17,campus,quad,"['quadruplet.n.02', 'quadriceps.n.01', 'quad.n.03', 'quad.n.04']","['one of four children born at the same time from the same pregnancy', 'a muscle of the thigh that extends the leg', '(printing) a block of type without a raised letter; used for spacing between words or sentences', 'a rectangular area surrounded on all sides by buildings']",,
18,18,,van,"['avant-garde.n.01', 'vanguard.n.01', 'van.n.03', 'van.n.04', 'van.n.05']","['any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)', 'the leading units moving at the head of an army', '(Great Britain) a closed railroad car that carries baggage or freight', 'a camper equipped with living quarters', 'a truck with an enclosed cargo space']",,
19,19,desert,sand_dune,['dune.n.01'],['a ridge of sand created by the wind; found in deserts or near lakes and oceans'],,
20,20,horse,racetrack,['racetrack.n.01'],['a course over which races are run'],,
21,21,art,studio,"['studio.n.01', 'studio_apartment.n.01', 'studio.n.03']","['workplace for the teaching or practice of an art', 'an apartment with a living space and a bathroom and a small kitchen', 'workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded']",,
22,22,,glaciers,['glacier.n.01'],['a slowly moving mass of ice'],,
23,23,airplane,cabin,"['cabin.n.01', 'cabin.n.02', 'cabin.n.03']","['small room on a ship or boat where people sleep', 'a small house built of wood; usually in a wooded area', 'the enclosed compartment of an aircraft or spacecraft where passengers are carried']",,
24,24,,restroom,['public_toilet.n.01'],['a toilet that is available to the public'],,
25,25,ticket,office,"['office.n.01', 'agency.n.01', 'function.n.03', 'office.n.04', 'office.n.05', 'office.n.06', 'position.n.06']","['place of business where professional or clerical duties are performed', 'an administrative unit of government', 'the actions and activities assigned to or required or expected of a person or group', '(of a government or government official) holding an office means being in power', 'professional or clerical workers in an office', 'a religious rite or service prescribed by ecclesiastical authorities', 'a job in an organization']",,
26,26,dance,studio,"['studio.n.01', 'studio_apartment.n.01', 'studio.n.03']","['workplace for the teaching or practice of an art', 'an apartment with a living space and a bathroom and a small kitchen', 'workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded']",,
27,27,exercise,equipment,['equipment.n.01'],['an instrumentality needed for an undertaking or to perform a service'],,
28,28,soccer,field,"['field.n.01', 'battlefield.n.01', 'field.n.03', 'discipline.n.01', 'field.n.05', 'field.n.06', 'sphere.n.01', 'playing_field.n.02', 'plain.n.01', 'field.n.10', 'field.n.11', 'field.n.12', 'field.n.13', 'field.n.14', 'field.n.15', 'field.n.16', 'airfield.n.01']","['a piece of land cleared of trees and usually enclosed', 'a region where a battle is being (or has been) fought', 'somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected', 'a branch of knowledge', 'the space around a radiating body within which its electromagnetic oscillations can exert force on another similar body not in contact with it', 'a particular kind of commercial enterprise', 'a particular environment or walk of life', 'a piece of land prepared for playing a game', 'extensive tract of level open land', '(mathematics) a set of elements such that addition and multiplication are commutative and associative and multiplication is distributive over addition and there are two elements 0 and 1', 'a region in which active military operations are in progress', 'all of the horses in a particular horse race', 'all the competitors in a particular contest or sporting event', 'a geographic region (land or sea) under which something valuable is found', '(computer science) a set of one or more adjacent characters comprising a unit of information', 'the area that is visible (as through an optical instrument)', 'a place where planes take off and land']",,
29,29,,vineyard,['vineyard.n.01'],['a farm of grapevines where wine grapes are produced'],,
30,30,martial_arts,class,"['class.n.01', 'class.n.02', 'class.n.03', 'course.n.01', 'class.n.05', 'class.n.06', 'class.n.07', 'class.n.08']","['a collection of things sharing a common attribute', 'a body of students who are taught together', 'people having the same social, economic, or educational status', 'education imparted in a series of lessons or meetings', 'a league ranked by quality', 'a body of students who graduate together', '(biology) a taxonomic group containing one or more orders', 'elegance in dress or behavior']",,
31,31,,car-mechanic,['automobile_mechanic.n.01'],['someone whose occupation is repairing and maintaining automobiles'],,
32,32,nail,salon,"['salon.n.01', 'salon.n.02', 'salon.n.03']","['gallery where works of art can be displayed', 'a shop where hairdressers and beauticians work', 'elegant sitting room where guests are received']",,
33,33,bridal,boutique,['boutique.n.01'],"[""a shop that sells women's clothes and jewelry""]",,
34,34,bike,rack,"['rack.n.01', 'rack.n.02', 'wrack.n.02', 'rack.n.04', 'rack.n.05', 'rack.n.06', 'rack.n.07']","['framework for holding objects', 'rib section of a forequarter of veal or pork or especially lamb or mutton', 'the destruction or collapse of something', 'an instrument of torture that stretches or disjoints or mutilates victims', 'a support for displaying various articles', 'a form of torture in which pain is inflicted by stretching the body', 'a rapid gait of a horse in which each foot strikes the ground separately']",,
35,35,childs,room,"['room.n.01', 'room.n.02', 'room.n.03', 'room.n.04']","['an area within a building enclosed by walls and floor and ceiling', 'space for movement', 'opportunity for', 'the people who are present in a room']",,
36,36,,parking,"['parking.n.01', 'parking.n.02']","['space in which vehicles can be parked', 'the act of maneuvering a vehicle into a location where it can be left temporarily']",,
37,37,home,garden,"['garden.n.01', 'garden.n.02', 'garden.n.03']","['a plot of ground where plants are cultivated', 'the flowers or vegetables or fruits or herbs that are cultivated in a garden', 'a yard or lawn adjoining a house']",,
38,38,,metro,['metro.n.01'],['an electric railway operating below the surface of the ground (usually in a city)'],,
39,39,,cabin,"['cabin.n.01', 'cabin.n.02', 'cabin.n.03']","['small room on a ship or boat where people sleep', 'a small house built of wood; usually in a wooded area', 'the enclosed compartment of an aircraft or spacecraft where passengers are carried']",,
